symbol,identifier,series,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep
KANPRPLA,KANPRPLAEQN,EQ,,0,3.43,2.0,171.74,0,0,-,249.5,104.5,175.17
PHOENIXLTD,PHOENIXLTDEQN,EQ,,0,31.6,2.0,1578.4,0,0,-,1993.0,1402.5,1610.0
HGINFRA,HGINFRAEQN,EQ,,0,9.6,2.0,480.4,0,0,-,1275.0,471.0,490.0
LUXIND,LUXINDEQN,EQ,,0,17.4,2.0,868.6,0,0,-,1645.8,851.0,886.0
PENINLAND,PENINLANDEQN,EQ,,0,0.32,2.0,16.01,0,0,-,46.0,15.54,16.33
ICEMAKE,ICEMAKEEQN,EQ,,0,16.5,2.0,823.5,0,0,-,1088.75,666.3,840.0
JINDALPHOT,JINDALPHOTEQN,EQ,,0,22.7,2.0,1136.3,0,0,-,1616.6,560.9,1159.0
AXISCADES,AXISCADESEQN,EQ,,0,28.5,2.0,1426.5,0,0,-,1779.2,720.0,1455.0
TITAN,TITANEQN,EQ,,0,82.8,1.99,4159.2,0,0,-,4378.4,2925.0,4242.0
MAANALU,MAANALUBEN,BE,,0,2.53,1.99,127.06,0,0,-,184.74,75.51,129.59
STEELXIND,STEELXINDEQN,EQ,,0,0.16,1.98,8.08,0,0,-,11.55,7.06,8.24
VINNY,VINNYEQN,EQ,,0,0.02,1.98,1.01,0,0,-,1.64,0.94,1.03
EIHOTEL,EIHOTELEQN,EQ,,0,6.25,1.98,314.95,0,0,-,434.8,300.5,321.2
HINDUNILVR,HINDUNILVREQN,EQ,,0,43.4,1.98,2194.6,0,0,-,2750.0,2150.0,2238.0
LXCHEM,LXCHEMEQN,EQ,,0,2.31,1.98,116.69,0,0,-,241.0,110.15,119.0
AFSL,AFSLEQN,EQ,,0,3.96,1.97,201.04,0,0,-,269.5,173.68,205.0
SPANDANA,SPANDANAEQN,EQ,,0,4.55,1.97,231.45,0,0,-,331.71,183.81,236.0
AWFIS,AWFISEQN,EQ,,0,5.0,1.97,254.0,0,0,-,718.95,250.7,259.0
SDBL,SDBLEQN,EQ,,0,1.49,1.97,75.57,0,0,-,173.03,74.86,77.06
DPSCLTD,DPSCLTDEQN,EQ,,0,0.17,1.97,8.61,0,0,-,15.48,8.0,8.78
GLOBE,GLOBEEQN,EQ,,0,0.05,1.97,2.54,0,0,-,3.29,2.02,2.59
TIMETECHNO,TIMETECHNOEQN,EQ,,0,3.29,1.97,166.71,0,0,-,249.15,153.3,170.0
DBREALTY,DBREALTYEQN,EQ,,0,1.99,1.97,101.01,0,0,-,252.67,95.5,103.0
LLOYDSENGG,LLOYDSENGGEQN,EQ,,0,0.86,1.97,43.69,0,0,-,84.27,41.13,44.55
EPIGRAL,EPIGRALEQN,EQ,,0,17.1,1.97,867.9,0,0,-,2114.0,822.5,885.0
VERANDA,VERANDAEQN,EQ,,0,2.99,1.96,152.36,0,0,-,272.5,151.0,155.35
SADBHIN,SADBHINEQN,EQ,,0,0.06,1.96,3.06,0,0,-,6.0,3.03,3.12
SURYAROSNI,SURYAROSNIEQN,EQ,,0,4.03,1.96,205.97,0,0,-,359.0,201.82,210.0
COSMOFIRST,COSMOFIRSTEQN,EQ,,0,13.15,1.96,671.75,0,0,-,1307.2,525.7,684.9
JSLL,JSLLEQN,EQ,,0,11.95,1.96,610.05,0,0,-,849.5,313.0,622.0
SIKKO,SIKKOEQN,EQ,,0,0.09,1.95,4.61,0,0,-,6.83,3.2,4.7
