Unnamed: 0,Symbol,PREV. CLOSE,IEP,Chng,%Chng,Final,Final Quantity,Value(₹ Crores),NM 52w H,NM 52w L,Unnamed: 11
,ORIENTALTL,6.3,6.27,-0.03,-0.48,6.27,570,0.00,17.60,6.00,
,BAJAJELEC,355.95,354.25,-1.7,-0.48,354.25,133,0.00,711.00,341.55,
,ZENTEC,1426.8,1419.9,-6.9,-0.48,1419.9,3400,0.48,2268.00,1118.00,
,ATUL,6415.0,6384.0,-31.0,-0.48,6384.0,11,0.01,7788.00,4752.00,
,MANBA,115.29,114.72,-0.57,-0.49,114.72,275,0.00,159.50,111.00,
,NIBE,989.9,985.0,-4.9,-0.49,985.0,781,0.08,2001.00,761.50,
,PURVA,187.32,186.41,-0.91,-0.49,186.41,1320,0.02,338.95,172.65,
,MOLDTKPAC,572.05,569.25,-2.8,-0.49,569.25,77,0.00,892.90,410.00,
,AEGISVOPAK,199.62,198.65,-0.97,-0.49,198.65,4580,0.09,302.00,184.20,
,SAKHTISUG,16.28,16.2,-0.08,-0.49,16.2,1501,0.00,28.50,14.11,
,WONDERLA,494.65,492.25,-2.4,-0.49,492.25,669,0.03,714.95,455.00,
,JNKINDIA,230.48,229.32,-1.16,-0.5,229.32,86,0.00,419.55,200.92,
,KINGFA,4179.0,4158.1,-20.9,-0.5,4158.1,2,0.00,4880.00,2550.00,
,KIRLOSIND,2939.0,2924.4,-14.6,-0.5,2924.4,34,0.01,4726.00,2739.10,
,WHIRLPOOL,896.5,892.0,-4.5,-0.5,892.0,514,0.05,1473.80,756.85,
,PAVNAIND,20.14,20.04,-0.1,-0.5,20.04,200,0.00,46.96,15.33,
,SCHAND,152.56,151.79,-0.77,-0.5,151.79,1,0.00,257.90,138.48,
,MAXHEALTH,1042.0,1036.8,-5.2,-0.5,1036.8,2974,0.31,1314.30,933.80,
,FCL,21.91,21.8,-0.11,-0.5,21.8,4229,0.01,35.79,20.70,
,CIGNITITEC,1148.7,1142.9,-5.8,-0.5,1142.9,23,0.00,1929.50,1033.25,
,APTECHT,82.4,81.99,-0.41,-0.5,81.99,309,0.00,182.30,76.02,
,ASTERDM,672.7,669.35,-3.35,-0.5,669.35,3409,0.23,732.20,410.50,
,RTNPOWER,7.98,7.94,-0.04,-0.5,7.94,105953,0.08,16.92,7.66,
,SOFTTECH,268.05,266.7,-1.35,-0.5,266.7,1,0.00,421.00,250.00,
,ZEEMEDIA,8.04,8.0,-0.04,-0.5,8.0,853,0.00,16.46,7.10,
,NATHBIOGEN,143.84,143.1,-0.74,-0.51,143.1,20,0.00,238.69,136.00,
,UNIMECH,889.5,885.0,-4.5,-0.51,885.0,274,0.02,1397.00,807.05,
,MUKTAARTS,50.27,50.01,-0.26,-0.52,50.01,1095,0.01,92.10,48.75,
,PFS,28.65,28.5,-0.15,-0.52,28.5,1512,0.00,44.20,27.50,
,SEYAIND,9.64,9.59,-0.05,-0.52,9.59,242,0.00,23.99,9.16,
,FMGOETZE,386.8,384.8,-2.0,-0.52,384.8,239,0.01,622.00,308.00,
,SFL,522.7,520.0,-2.7,-0.52,520.0,402,0.02,779.00,497.95,
,ARE&M,807.75,803.55,-4.2,-0.52,803.55,3052,0.25,1109.00,784.00,
,COLPAL,2204.6,2193.0,-11.6,-0.53,2193.0,1961,0.43,2747.40,2029.40,
,VSTIND,222.18,221.0,-1.18,-0.53,221.0,1381,0.03,334.65,214.27,
,TORNTPHARM,4317.8,4295.0,-22.8,-0.53,4295.0,550,0.24,4470.00,2974.05,
,CARBORUNIV,804.3,800.0,-4.3,-0.53,800.0,834,0.07,1128.05,748.50,
,IRIS,250.34,249.0,-1.34,-0.54,249.0,50,0.00,438.90,203.00,
,VETO,102.05,101.5,-0.55,-0.54,101.5,1,0.00,141.00,93.00,
,DPABHUSHAN,1005.4,1000.0,-5.4,-0.54,1000.0,83,0.01,1729.60,949.60,
