Unnamed: 0,Symbol,PREV. CLOSE,IEP,Chng,%Chng,Final,Final Quantity,Value(₹ Crores),NM 52w H,NM 52w L,Unnamed: 11
,IREDA,117.28,113.22,-4.06,-3.46,113.22,62246,0.70,186.58,112.07,
,JMFINANCIL,121.74,117.5,-4.24,-3.48,117.5,10377,0.12,199.80,80.20,
,ASAHIINDIA,828.85,800.0,-28.85,-3.48,800.0,1085,0.09,1074.00,576.80,
,ASIANPAINT,2279.5,2200.0,-79.5,-3.49,2200.0,10360,2.28,2985.70,2162.60,
,WELSPUNLIV,120.36,116.15,-4.21,-3.5,116.15,6105,0.07,154.57,104.80,
,XPROINDIA,916.4,884.3,-32.1,-3.5,884.3,20,0.00,1331.50,842.40,
,PENIND,141.03,136.09,-4.94,-3.5,136.09,5352,0.07,279.90,133.38,
,BANKINDIA,159.58,154.0,-5.58,-3.5,154.0,50152,0.77,178.36,92.66,
,CLEAN,755.55,729.1,-26.45,-3.5,729.1,1898,0.14,1600.00,701.00,
,AFCONS,283.05,273.15,-9.9,-3.5,273.15,3611,0.10,498.70,271.50,
,AARTIIND,419.35,404.65,-14.7,-3.51,404.65,2721,0.11,495.00,338.05,
,AEQUS,137.85,133.01,-4.84,-3.51,133.01,4332,0.06,165.40,129.49,
,FLYSBS,456.0,440.0,-16.0,-3.51,440.0,800,0.04,790.00,375.05,
,VIKRAMSOLR,174.14,168.0,-6.14,-3.53,168.0,22340,0.38,407.95,162.10,
,INDSWFTLAB,136.84,132.0,-4.84,-3.54,132.0,3003,0.04,151.98,68.72,
,MANINDS,405.95,391.55,-14.4,-3.55,391.55,2529,0.10,491.00,239.05,
,BALKRISHNA,16.07,15.5,-0.57,-3.55,15.5,2,0.00,25.97,12.86,
,ABCAPITAL,326.55,314.95,-11.6,-3.55,314.95,12220,0.38,369.30,154.92,
,GKWLIMITED,1660.0,1601.1,-58.9,-3.55,1601.1,100,0.02,2262.00,1371.00,
,TIINDIA,2722.9,2626.0,-96.9,-3.56,2626.0,1340,0.35,3419.90,2164.90,
,ELIN,124.43,120.0,-4.43,-3.56,120.0,484,0.01,234.00,110.05,
,CROMPTON,248.0,239.15,-8.85,-3.57,239.15,13303,0.32,367.50,217.40,
,ANDHRAPAP,65.85,63.5,-2.35,-3.57,63.5,599,0.00,90.00,61.16,
,SPAL,685.55,661.0,-24.55,-3.58,661.0,75,0.00,945.00,600.00,
,TIIL,2126.5,2050.1,-76.4,-3.59,2050.1,65,0.01,3383.00,1868.50,
,ORIENTTECH,269.8,260.1,-9.7,-3.6,260.1,1055,0.03,466.73,254.00,
,THOMASCOTT,261.4,252.0,-9.4,-3.6,252.0,290,0.01,459.80,244.75,
,SHRADHA,34.75,33.5,-1.25,-3.6,33.5,56,0.00,71.98,30.55,
,SUYOG,700.2,675.0,-25.2,-3.6,675.0,165,0.01,1120.00,526.50,
,RCF,114.12,110.0,-4.12,-3.61,110.0,15623,0.17,166.50,108.46,
,GVPIL,451.3,435.0,-16.3,-3.61,435.0,1113,0.05,552.05,205.25,
,TARIL,293.65,283.0,-10.65,-3.63,283.0,22053,0.62,594.00,224.05,
,MINDACORP,520.95,502.05,-18.9,-3.63,502.05,1357,0.07,619.95,445.05,
,QPOWER,833.75,803.45,-30.3,-3.63,803.45,3058,0.25,1082.00,267.80,
,RAMKY,468.05,451.0,-17.05,-3.64,451.0,3626,0.16,705.00,403.35,
,ANUP,1479.2,1425.4,-53.8,-3.64,1425.4,1303,0.19,3633.05,1422.30,
,JSWHL,16504.0,15904.0,-600.0,-3.64,15904.0,20,0.03,27740.00,15494.00,
,JSWINFRA,268.8,259.0,-9.8,-3.65,259.0,17191,0.45,349.00,243.00,
,KARURVYSYA,312.55,301.1,-11.45,-3.66,301.1,21442,0.65,343.45,154.63,
,BIGBLOC,51.14,49.26,-1.88,-3.68,49.26,2710,0.01,80.00,48.25,
,APS,304.25,293.05,-11.2,-3.68,293.05,250,0.01,654.00,280.00,
,AVROIND,132.46,127.57,-4.89,-3.69,127.57,3000,0.04,202.00,101.35,
,VALIANTLAB,53.37,51.4,-1.97,-3.69,51.4,10,0.00,115.19,49.51,
,JPASSOCIAT,2.44,2.35,-0.09,-3.69,2.35,93874,0.02,4.93,2.32,
,TEMBO,532.65,513.0,-19.65,-3.69,513.0,345,0.02,837.00,386.00,
,TENNIND,547.2,527.0,-20.2,-3.69,527.0,1674,0.09,602.00,438.05,
,NRL,52.44,50.5,-1.94,-3.7,50.5,11,0.00,94.00,48.80,
,AXISCADES,1476.8,1422.2,-54.6,-3.7,1422.2,1118,0.16,1779.20,720.00,
,AYE,115.78,111.49,-4.29,-3.71,111.49,6900,0.08,149.69,108.00,
,STANLEY,150.6,145.0,-5.6,-3.72,145.0,1847,0.03,377.50,142.65,
,PNGJL,540.15,520.0,-20.15,-3.73,520.0,2022,0.11,701.40,473.80,
,SWSOLAR,181.78,175.0,-6.78,-3.73,175.0,13153,0.23,348.90,172.22,
,OMAXE,75.86,73.02,-2.84,-3.74,73.02,3,0.00,113.40,62.50,
,HDFCBANK,857.05,825.0,-32.05,-3.74,825.0,1450955,119.70,1020.50,821.50,
,IZMO,677.35,652.0,-25.35,-3.74,652.0,177,0.01,1374.70,259.00,
,EIHOTEL,329.35,317.0,-12.35,-3.75,317.0,3653,0.12,434.80,300.50,
,GOKULAGRO,166.2,159.96,-6.24,-3.75,159.96,6297,0.10,221.50,96.55,
,PYRAMID,152.77,147.02,-5.75,-3.76,147.02,10,0.00,190.00,134.91,
,TCL,90.4,87.0,-3.4,-3.76,87.0,1600,0.01,137.00,77.15,
,SRPL,0.53,0.51,-0.02,-3.77,0.51,2530,0.00,1.22,0.46,
,DCW,43.65,42.0,-1.65,-3.78,42.0,5151,0.02,90.36,40.16,
,INDOFARM,127.83,123.0,-4.83,-3.78,123.0,4758,0.06,271.69,122.00,
,INDOAMIN,100.14,96.35,-3.79,-3.78,96.35,1900,0.02,176.25,96.00,
,UNIONBANK,188.65,181.51,-7.14,-3.78,181.51,99411,1.80,205.49,112.17,
,VPRPL,41.84,40.25,-1.59,-3.8,40.25,5073,0.02,195.00,39.50,
,NETWEB,3222.3,3100.0,-122.3,-3.8,3100.0,15850,4.91,4479.00,1251.55,
,SUMMITSEC,1637.3,1575.0,-62.3,-3.81,1575.0,71,0.01,2495.00,1506.55,
,MAITHANALL,967.9,931.0,-36.9,-3.81,931.0,335,0.03,1264.00,835.25,
,EBGNG,349.35,336.05,-13.3,-3.81,336.05,1535,0.05,401.70,239.00,
,UFO,67.58,65.0,-2.58,-3.82,65.0,7584,0.05,92.97,59.95,
,ANURAS,1252.9,1205.0,-47.9,-3.82,1205.0,877,0.11,1407.00,686.10,
,SUNDRMBRAK,594.75,572.0,-22.75,-3.83,572.0,1,0.00,1048.95,541.40,
,IFCI,54.59,52.5,-2.09,-3.83,52.5,93711,0.49,74.50,36.20,
,VIKRAN,62.65,60.25,-2.4,-3.83,60.25,7689,0.05,118.40,58.55,
,REFEX,218.39,210.0,-8.39,-3.84,210.0,3243,0.07,534.00,201.00,
,KCP,156.04,150.01,-6.03,-3.86,150.01,5114,0.08,230.00,150.00,
,EMSLIMITED,270.5,260.05,-10.45,-3.86,260.05,3237,0.08,695.40,256.35,
,ACUTAAS,2250.7,2163.5,-87.2,-3.87,2163.5,2261,0.49,2553.65,1040.50,
,KIRLOSBROS,1645.7,1582.0,-63.7,-3.87,1582.0,3553,0.56,2475.00,1430.00,
,FAZE3Q,453.65,436.0,-17.65,-3.89,436.0,73,0.00,747.95,322.10,
,SMLT,71.44,68.66,-2.78,-3.89,68.66,269,0.00,146.25,62.20,
,JINDALPHOT,1098.8,1056.0,-42.8,-3.9,1056.0,16,0.00,1616.60,560.90,
,UNIECOM,99.7,95.8,-3.9,-3.91,95.8,4922,0.05,155.80,94.05,
,ELGIRUBCO,45.79,44.0,-1.79,-3.91,44.0,3200,0.01,90.50,36.00,
,MANGALAM,32.26,31.0,-1.26,-3.91,31.0,7621,0.02,95.00,22.80,
,PVSL,92.01,88.4,-3.61,-3.92,88.4,1870,0.02,163.00,83.00,
,GODIGIT,335.15,322.0,-13.15,-3.92,322.0,2087,0.07,381.40,264.60,
,AIMTRON,785.95,755.05,-30.9,-3.93,755.05,2600,0.20,1040.00,358.00,
,DWARKESH,38.42,36.91,-1.51,-3.93,36.91,3234,0.01,52.60,32.13,
,DIACABS,135.33,130.0,-5.33,-3.94,130.0,9222,0.12,183.50,86.20,
,DAMCAPITAL,136.43,131.05,-5.38,-3.94,131.05,5546,0.07,303.50,128.50,
,MUFTI,82.98,79.71,-3.27,-3.94,79.71,2126,0.02,189.00,78.60,
,PRUDENT,2240.2,2152.0,-88.2,-3.94,2152.0,406,0.09,3098.00,1750.05,
,BLUEJET,385.3,370.1,-15.2,-3.94,370.1,2378,0.09,1027.80,352.55,
,CLSEL,251.95,242.0,-9.95,-3.95,242.0,1341,0.03,395.75,228.80,
,ARMOUR,24.05,23.1,-0.95,-3.95,23.1,2000,0.00,45.60,23.00,
,FMNL,8.34,8.01,-0.33,-3.96,8.01,13,0.00,19.27,7.30,
,VMSTMT,42.69,41.0,-1.69,-3.96,41.0,2650,0.01,105.00,41.00,
,VASWANI,54.72,52.55,-2.17,-3.97,52.55,537,0.00,69.99,33.40,
,MASTERTR,83.36,80.05,-3.31,-3.97,80.05,542,0.00,174.40,78.55,
,SEAMECLTD,1346.0,1292.6,-53.4,-3.97,1292.6,37,0.00,1446.70,752.55,
,SATIN,150.99,145.0,-5.99,-3.97,145.0,1689,0.02,175.90,131.80,
,SWELECTES,519.7,499.0,-20.7,-3.98,499.0,52,0.00,977.00,472.00,
,RUBYMILLS,214.58,206.01,-8.57,-3.99,206.01,637,0.01,269.00,169.02,
,CANBK,145.97,140.15,-5.82,-3.99,140.15,160359,2.25,162.89,81.40,
,GARUDA,164.61,158.0,-6.61,-4.02,158.0,4986,0.08,249.30,87.50,
,CCCL,14.92,14.32,-0.6,-4.02,14.32,6852,0.01,28.87,12.66,
,LAGNAM,67.73,65.0,-2.73,-4.03,65.0,3,0.00,138.10,63.05,
,FELIX,182.5,175.15,-7.35,-4.03,175.15,3000,0.05,220.00,111.95,
,SANGHVIMOV,244.9,235.0,-9.9,-4.04,235.0,2867,0.07,411.90,214.31,
,BGRENERGY,321.05,308.0,-13.05,-4.06,308.0,3879,0.12,490.80,74.00,
,SAMPANN,27.62,26.5,-1.12,-4.06,26.5,10,0.00,43.44,24.16,
,ACE,878.85,843.05,-35.8,-4.07,843.05,3983,0.34,1389.00,775.45,
,DDEVPLSTIK,271.65,260.6,-11.05,-4.07,260.6,668,0.02,360.00,219.87,
,ORIENTCER,37.01,35.5,-1.51,-4.08,35.5,101,0.00,56.64,28.67,
,BOROSCI,103.45,99.21,-4.24,-4.1,99.21,682,0.01,190.79,99.21,
,ANTHEM,663.2,636.0,-27.2,-4.1,636.0,4919,0.31,873.50,579.15,
,SONAMLTD,51.12,49.01,-2.11,-4.13,49.01,60,0.00,54.90,37.00,
,SYRMA,761.55,730.0,-31.55,-4.14,730.0,6506,0.47,909.90,370.00,
,SENORES,751.25,720.05,-31.2,-4.15,720.05,543,0.04,876.50,440.30,
,MOTISONS,14.41,13.81,-0.6,-4.16,13.81,18533,0.03,24.02,10.62,
,MIRCELECTR,25.74,24.67,-1.07,-4.16,24.67,10510,0.03,37.40,10.24,
,TREL,24.0,23.0,-1.0,-4.17,23.0,1191,0.00,37.95,21.88,
,ENTERO,1046.0,1002.0,-44.0,-4.21,1002.0,415,0.04,1510.80,944.00,
,OSWALAGRO,44.9,43.0,-1.9,-4.23,43.0,200,0.00,110.80,42.06,
,INDRAMEDCO,398.95,382.0,-16.95,-4.25,382.0,881,0.03,640.85,307.25,
,PIGL,100.78,96.5,-4.28,-4.25,96.5,700,0.01,195.45,95.22,
,SNOWMAN,37.6,36.0,-1.6,-4.26,36.0,1198,0.00,64.40,34.00,
,PRECAM,127.89,122.41,-5.48,-4.28,122.41,5676,0.07,262.00,122.35,
,NRAIL,444.15,425.1,-19.05,-4.29,425.1,150,0.01,514.00,205.75,
,MANGLMCEM,851.65,815.0,-36.65,-4.3,815.0,566,0.05,940.35,665.00,
,IDBI,108.89,104.2,-4.69,-4.31,104.2,206850,2.16,118.38,70.89,
,ZAGGLE,226.87,217.06,-9.81,-4.32,217.06,5134,0.11,469.80,211.05,
,PONNIERODE,275.0,263.1,-11.9,-4.33,263.1,201,0.01,368.45,252.40,
,VIPCLOTHNG,18.71,17.9,-0.81,-4.33,17.9,2050,0.00,45.10,17.69,
,SAPPHIRE,193.37,185.0,-8.37,-4.33,185.0,4987,0.09,368.00,173.54,
,CONTROLPR,632.75,605.0,-27.75,-4.39,605.0,953,0.06,917.50,547.00,
,CHAVDA,102.5,98.0,-4.5,-4.39,98.0,1000,0.01,156.95,82.10,
,TOUCHWOOD,71.13,68.0,-3.13,-4.4,68.0,30,0.00,136.59,67.52,
,SHARDACROP,1046.1,1000.0,-46.1,-4.41,1000.0,3294,0.33,1297.00,452.25,
,BANSWRAS,110.61,105.7,-4.91,-4.44,105.7,17,0.00,165.49,98.00,
,MUKKA,22.08,21.1,-0.98,-4.44,21.1,5122,0.01,36.73,20.16,
,WINDMACHIN,247.0,236.0,-11.0,-4.45,236.0,1000,0.02,409.00,228.05,
,DENTALKART,430.65,411.5,-19.15,-4.45,411.5,500,0.02,704.00,426.00,
,EUROPRATIK,240.7,230.0,-10.7,-4.45,230.0,5761,0.13,390.00,205.10,
,MAHABANK,70.13,67.0,-3.13,-4.46,67.0,192435,1.29,77.00,42.00,
,BCG,9.85,9.41,-0.44,-4.47,9.41,64937,0.06,22.00,8.61,
,GLOSTERLTD,545.5,521.0,-24.5,-4.49,521.0,50,0.00,830.00,521.00,
,AETHER,1011.95,966.45,-45.5,-4.5,966.45,754,0.07,1083.60,725.00,
,TTL,9.12,8.71,-0.41,-4.5,8.71,240,0.00,16.20,6.42,
,SHAHALLOYS,59.72,57.0,-2.72,-4.55,57.0,120,0.00,83.85,43.60,
,DRCSYSTEMS,13.84,13.21,-0.63,-4.55,13.21,1271,0.00,31.00,13.15,
,POWERGRID,299.15,285.5,-13.65,-4.56,285.5,402017,11.48,322.00,250.00,
,DCI,248.45,237.1,-11.35,-4.57,237.1,50,0.00,339.00,201.35,
,MUTHOOTFIN,3238.9,3090.1,-148.8,-4.59,3090.1,3316,1.02,4149.50,1965.00,
,CEIGALL,277.8,265.05,-12.75,-4.59,265.05,786,0.02,307.90,222.61,
,SANCO,2.17,2.07,-0.1,-4.61,2.07,116,0.00,4.22,1.66,
,DIL,1.3,1.24,-0.06,-4.62,1.24,554,0.00,2.67,1.24,
,INDIGO,4404.1,4199.9,-204.2,-4.64,4199.9,17320,7.27,6232.50,4035.00,
,J&KBANK,118.62,113.1,-5.52,-4.65,113.1,50343,0.57,123.60,87.30,
,RGL,105.93,101.0,-4.93,-4.65,101.0,18303,0.18,147.90,96.63,
,PASUPTAC,48.25,46.0,-2.25,-4.66,46.0,4500,0.02,63.50,40.10,
,PHANTOMFX,203.85,194.35,-9.5,-4.66,194.35,300,0.01,327.95,175.00,
,SKIL,1.07,1.02,-0.05,-4.67,1.02,10000,0.00,4.15,1.02,
,UTTAMSUGAR,195.12,186.01,-9.11,-4.67,186.01,2335,0.04,330.45,180.00,
,HDIL,2.35,2.24,-0.11,-4.68,2.24,2040,0.00,4.04,1.92,
,TAC,435.45,415.0,-20.45,-4.7,415.0,2800,0.12,899.65,352.00,
,VIDHIING,317.95,303.0,-14.95,-4.7,303.0,403,0.01,479.00,272.05,
,ALMONDZ,14.8,14.1,-0.7,-4.73,14.1,167,0.00,27.93,12.51,
,AARON,150.68,143.55,-7.13,-4.73,143.55,201,0.00,258.00,135.01,
,NAVKARURB,1.05,1.0,-0.05,-4.76,1.0,345617,0.03,3.59,1.00,
,SETUINFRA,0.42,0.4,-0.02,-4.76,0.4,22192,0.00,1.12,0.37,
,SHRENIK,0.42,0.4,-0.02,-4.76,0.4,5169,0.00,0.77,0.37,
,E2E,2310.3,2200.2,-110.1,-4.77,2200.2,2120,0.47,3894.70,1710.05,
,PNGSREVA,394.1,375.0,-19.1,-4.85,375.0,2003,0.08,433.00,360.00,
,HINDPETRO,404.95,385.2,-19.75,-4.88,385.2,363922,14.02,508.45,319.50,
,SERVOTECH,68.36,65.01,-3.35,-4.9,65.01,7241,0.05,168.50,57.51,
,LAMOSAIC,25.5,24.25,-1.25,-4.9,24.25,600,0.00,51.15,24.10,
,ADANIPORTS,1477.5,1405.0,-72.5,-4.91,1405.0,41414,5.82,1584.00,1041.50,
,JITFINFRA,355.55,338.1,-17.45,-4.91,338.1,642,0.02,478.00,222.35,
,PLAZACABLE,36.2,34.42,-1.78,-4.92,34.42,1308,0.00,65.34,33.99,
,SADBHAV,8.74,8.31,-0.43,-4.92,8.31,2211,0.00,17.85,6.05,
,SADHNANIQ,1.62,1.54,-0.08,-4.94,1.54,269286,0.04,7.07,1.48,
,PDMJEPAPER,76.8,73.0,-3.8,-4.95,73.0,4702,0.03,148.39,73.00,
,SILVERTUC,141.3,134.3,-7.0,-4.95,134.3,9337,0.13,169.02,61.00,
,LAKPRE,4.84,4.6,-0.24,-4.96,4.6,50,0.00,7.64,3.88,
,SHRIRAMFIN,1007.5,957.5,-50.0,-4.96,957.5,57003,5.46,1108.00,566.50,
,EUROTEXIND,12.7,12.07,-0.63,-4.96,12.07,100,0.00,23.58,11.69,
,STRIDERS,66.5,63.2,-3.3,-4.96,63.2,3200,0.02,-,-,
,AQYLON,108.7,103.3,-5.4,-4.97,103.3,3115,0.03,224.70,45.27,
,TARMAT,63.93,60.75,-3.18,-4.97,60.75,975,0.01,73.90,45.10,
,LAXMICOT,14.28,13.57,-0.71,-4.97,13.57,17,0.00,33.00,12.16,
,SANGINITA,12.87,12.23,-0.64,-4.97,12.23,729,0.00,15.87,8.46,
,GENSOL,23.94,22.75,-1.19,-4.97,22.75,54,0.00,555.75,20.50,
,RMDRIP,51.58,49.01,-2.57,-4.98,49.01,4193,0.02,123.80,35.00,
,GANESHIN,75.25,71.5,-3.75,-4.98,71.5,24000,0.17,279.80,71.65,
,CKKRETAIL,192.6,183.0,-9.6,-4.98,183.0,3200,0.06,265.25,163.00,
,GNA,426.25,405.0,-21.25,-4.99,405.0,3225,0.13,470.00,271.05,
,STALLION,107.18,101.83,-5.35,-4.99,101.83,12253,0.12,359.15,50.93,
,IWARE,259.5,246.55,-12.95,-4.99,246.55,4800,0.12,283.00,70.05,
,RNBDENIMS,139.14,132.19,-6.95,-4.99,132.19,379,0.01,203.00,97.55,
,MCL,66.87,63.53,-3.34,-4.99,63.53,3886,0.02,93.20,40.80,
,GSLSU,74.65,70.92,-3.73,-5.0,70.92,418,0.00,144.40,70.92,
,TAKE,34.4,32.68,-1.72,-5.0,32.68,83759,0.27,49.94,6.51,
,OWAIS,132.05,125.45,-6.6,-5.0,125.45,300,0.00,707.90,132.05,
,GAUDIUMIVF,75.81,72.02,-3.79,-5.0,72.02,5959,0.04,87.15,72.02,
,SMLMAH,4199.7,3989.8,-209.9,-5.0,3989.8,906,0.36,5348.00,1091.00,
,YAAP,140.0,133.0,-7.0,-5.0,133.0,48000,0.64,140.00,127.00,
,SRTL,61.22,58.16,-3.06,-5.0,58.16,3995,0.02,73.36,58.16,
,BLAL,181.18,172.01,-9.17,-5.06,172.01,222,0.00,235.00,172.01,
,MGEL,10.04,9.53,-0.51,-5.08,9.53,2142,0.00,18.40,9.53,
,PARADEEP,105.36,100.01,-5.35,-5.08,100.01,74019,0.74,234.39,88.61,
,UMIYA-MRO,80.71,76.6,-4.11,-5.09,76.6,200,0.00,110.90,56.81,
,ESSENTIA,1.37,1.3,-0.07,-5.11,1.3,73453,0.01,2.74,1.12,
,INTERARCH,1797.4,1705.4,-92.0,-5.12,1705.4,1182,0.20,2762.60,1264.00,
,INDIQUBE,170.96,162.0,-8.96,-5.24,162.0,3005,0.05,243.80,162.00,
,GLOBE,2.65,2.51,-0.14,-5.28,2.51,13725,0.00,3.29,2.02,
,RICOAUTO,113.3,107.2,-6.1,-5.38,107.2,70296,0.75,142.40,54.00,
,AVPINFRA,98.4,93.1,-5.3,-5.39,93.1,800,0.01,218.00,83.00,
,SOTL,354.35,335.0,-19.35,-5.46,335.0,1988,0.07,477.65,332.55,
,PARSVNATH,7.41,7.0,-0.41,-5.53,7.0,1712,0.00,27.39,6.02,
,VIRINCHI,19.69,18.6,-1.09,-5.54,18.6,773,0.00,32.69,18.20,
,SUTLEJTEX,29.37,27.65,-1.72,-5.86,27.65,351,0.00,51.70,26.20,
,GLOBAL,100.94,95.0,-5.94,-5.88,95.0,1732,0.02,112.35,41.00,
,EFCIL,233.75,220.0,-13.75,-5.88,220.0,1739,0.04,357.00,213.00,
,SINTERCOM,84.26,79.3,-4.96,-5.89,79.3,30,0.00,153.84,72.00,
,RUCHIRA,102.93,96.8,-6.13,-5.96,96.8,7683,0.07,173.00,96.80,
,GINNIFILA,35.54,33.42,-2.12,-5.97,33.42,20,0.00,57.80,19.01,
,AKASH,24.6,23.13,-1.47,-5.98,23.13,528,0.00,36.00,23.00,
,DGCONTENT,25.12,23.61,-1.51,-6.01,23.61,103,0.00,59.28,23.52,
,GEEKAYWIRE,22.51,21.15,-1.36,-6.04,21.15,2592,0.01,42.98,20.50,
,CENTEXT,20.88,19.61,-1.27,-6.08,19.61,2175,0.00,34.75,16.26,
,NILAINFRA,7.57,7.11,-0.46,-6.08,7.11,9455,0.01,13.78,6.75,
,GOKUL,39.99,37.55,-2.44,-6.1,37.55,188,0.00,53.55,31.00,
,AARVI,130.06,122.0,-8.06,-6.2,122.0,1236,0.02,152.00,88.00,
,TECILCHEM,12.8,12.0,-0.8,-6.25,12.0,150,0.00,42.16,11.20,
,IOC,168.68,158.0,-10.68,-6.33,158.0,705228,11.14,188.96,120.34,
,VHL,3247.5,3041.0,-206.5,-6.36,3041.0,5,0.00,4469.00,2990.00,
,ELDEHSG,865.2,810.0,-55.2,-6.38,810.0,15,0.00,1044.10,658.10,
,JAMNAAUTO,132.57,124.0,-8.57,-6.46,124.0,73443,0.91,152.60,69.70,
,PRITI,40.84,38.2,-2.64,-6.46,38.2,325,0.00,107.09,34.20,
,KWIL,26.3,24.6,-1.7,-6.46,24.6,399976,0.98,31.29,24.25,
,XTGLOBAL,35.34,33.0,-2.34,-6.62,33.0,963,0.00,46.25,25.20,
,ODIGMA,24.93,23.25,-1.68,-6.74,23.25,470,0.00,56.09,22.22,
,BAIDFIN,11.16,10.4,-0.76,-6.81,10.4,8036,0.01,13.96,9.01,
,LGHL,275.1,256.15,-18.95,-6.89,256.15,330,0.01,399.58,192.75,
,THEINVEST,97.11,90.33,-6.78,-6.98,90.33,100,0.00,184.17,90.01,
,RELTD,138.15,128.3,-9.85,-7.13,128.3,5000,0.06,191.77,93.41,
,DHUNINV,892.5,825.0,-67.5,-7.56,825.0,5,0.00,1724.90,789.55,
,MEESHO,159.26,147.05,-12.21,-7.67,147.05,42721,0.63,254.40,143.34,
,WIPL,151.99,140.01,-11.98,-7.88,140.01,19,0.00,193.20,133.10,
,DELTAMAGNT,56.56,51.99,-4.57,-8.08,51.99,1278,0.01,115.99,51.20,
,LYPSAGEMS,5.04,4.62,-0.42,-8.33,4.62,2511,0.00,10.93,4.33,
,INFLUX,221.95,203.0,-18.95,-8.54,203.0,3000,0.06,261.95,120.00,
,DCMSIL,61.27,56.0,-5.27,-8.6,56.0,24047,0.13,77.84,49.50,
,EFORCE,25.4,23.2,-2.2,-8.66,23.2,1200,0.00,54.50,23.35,
,MADHUSUDAN,137.05,125.15,-11.9,-8.68,125.15,1000,0.01,190.00,108.60,
,DCMFINSERV,4.1,3.7,-0.4,-9.76,3.7,2620,0.00,9.21,3.70,
,DSFCL,29.05,25.55,-3.5,-12.05,25.55,32570,0.08,52.50,25.55,
,HILTON-RE2,0.22,0.15,-0.07,-31.82,0.15,8993,0.00,0.40,0.15,
,BHANDA-RE2,0.11,0.07,-0.04,-36.36,0.07,75896,0.00,0.13,0.07,
,Total,,,,,,29119596,737.03,,,
